ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
14PR,heliport,Emp. Coco Beach Golf Club LLC Heliport,11,NA,PR,PR-U-A,Rio Grande,,,14PR,14PR,"18.407301, -65.798751"
14PS,small_airport,Hideaway Ultralightport,630,NA,US,US-PA,Quarryville,,,14PS,14PS,"39.8843994140625, -76.11859893798828"
14S,small_airport,Westport Airport,14,NA,US,US-WA,Westport,,,14S,14S,"46.8969, -124.100998"
14SN,heliport,Colmery-O'Neil Vamc Heliport,950,NA,US,US-KS,Topeka,,,14SN,14SN,"39.02640151977539, -95.72250366210938"
14TE,small_airport,Smith I-Ranch Airport,1793,NA,US,US-TX,Menard,,,14TE,14TE,"30.917624, -99.475771"
14TN,heliport,News Channel 3 Heliport,300,NA,US,US-TN,Memphis,,,14TN,14TN,"35.126399993896484, -90.07140350341797"
14TS,small_airport,O S Wyatt Airport,532,NA,US,US-TX,Realitos,,,14TS,14TS,"27.42169952392578, -98.60449981689453"
14TT,small_airport,Mathers Field,2688,NA,US,US-TX,Canadian,,,14TT,14TT,"36.047147, -100.520803"
14TX,small_airport,Keyes Ranch Airport,1150,NA,US,US-TX,Dripping Springs,,,14TX,14TX,"30.2894, -98.173897"
14UT,heliport,Westlake Emergency Center Heliport,4594,NA,US,US-UT,Lehi,,,14UT,14UT,"40.395919, -111.917105"
14VA,small_airport,Krens Farm Airport,790,NA,US,US-VA,Hillsboro,,,14VA,14VA,"39.229000091552734, -77.74669647216797"
14VG,small_airport,Abilene Airport,590,NA,US,US-VA,Keysville,,,14VG,14VG,"37.16913, -78.52092"
14WA,small_airport,Lz Ranch Airport,240,NA,US,US-WA,Olympia,,,14WA,14WA,"46.970699310302734, -122.73699951171875"
14WI,heliport,Cylon Heliport,1071,NA,US,US-WI,New Richmond,,,14WI,14WI,"45.136944, -92.376667"
14WS,small_airport,Lakewood Lodge Airport,1365,NA,US,US-WI,Stone Lake,,,14WS,14WS,"45.77799987792969, -91.55850219726562"
14WV,heliport,Snowshoe Resort/Topof the World Heliport,4792,NA,US,US-WV,Linwood,,,14WV,14WV,"38.4006004333, -79.99579620360001"
14XA,small_airport,Frog Pond Airport,686,NA,US,US-TX,Sherman,,,14XA,14XA,"33.657888, -96.788285"
14XS,small_airport,Isbell Ranch Airport,430,NA,US,US-TX,Davilla,,,14XS,14XS,"30.808500289916992, -97.2739028930664"
15A,small_airport,Mark Reynolds/North Mobile County Airport,60,NA,US,US-AL,Creola,,,K15A,15A,"30.90937, -87.996111"
15AK,small_airport,Golden North Airfield,2250,NA,US,US-AK,Cantwell,,,15AK,15AK,"63.371995, -148.846915"
15AL,heliport,Highfalls Stagefield Army Heliport,220,NA,US,US-AL,Fort Rucker/Hartford,,,15AL,15AL,"31.093599319458008, -85.78790283203125"
15AR,small_airport,Taylor Airport,220,NA,US,US-AR,Brickeys,,,15AR,15AR,"34.827378, -90.545297"
15CA,heliport,Stanford Health Care East Heliport,84,NA,US,US-CA,Palo Alto,,,15CA,15CA,"37.435195, -122.174588"
15CO,heliport,Swedish Medical Center Heliport,5374,NA,US,US-CO,Englewood,,,15CO,15CO,"39.654701232910156, -104.97100067138672"
15FA,heliport,Amistad Ranch Heliport,37,NA,US,US-FL,Okeechobee,,,15FA,15FA,"27.215842, -80.684881"
15FL,small_airport,Cannon Creek Airpark,125,NA,US,US-FL,Lake City,,,15FL,15FL,"30.150584, -82.66785"
15G,small_airport,Weltzien Skypark Airport,1210,NA,US,US-OH,Wadsworth,,,15G,15G,"41.028278, -81.798077"
15GA,small_airport,Darla's Airport,328,NA,US,US-GA,Kite,,,15GA,15GA,"32.680199, -82.478996"
15IA,small_airport,Stella Airport,625,NA,US,US-IA,Bellevue,,,15IA,15IA,"42.235396, -90.406767"
15ID,small_airport,Scanlon Airport,2000,NA,US,US-ID,Coeur D Alene,,,15ID,15ID,"47.68560028076172, -117.03800201416016"
15II,heliport,Findlay Heliport,670,NA,US,US-IN,Lafayette,,,15II,15II,"40.33890151977539, -86.94080352783203"
15IL,small_airport,Gittleson Farms Airport,836,NA,US,US-IL,Franklin Grove,,,15IL,15IL,"41.797298431396484, -89.27320098876953"
15IN,small_airport,Bugtown Airport,464,NA,US,US-IN,New Harmony,,,15IN,15IN,"38.15060043334961, -87.84030151367188"
15KS,small_airport,Sickler Airstrip,1200,NA,US,US-KS,Emporia,,,15KS,15KS,"38.430599212646484, -96.08830261230469"
15KT,heliport,Air Evac 109 Heliport,884,NA,US,US-KY,Manchester,,,15KT,15KT,"37.133803, -83.758258"
15KY,small_airport,Brennan Farm Airport,910,NA,US,US-KY,Paris,,,15KY,15KY,"38.15700149536133, -84.30159759521484"
15LL,small_airport,Cloverleaf Ranch Airport,807,NA,US,US-IL,Tiskilwa,,,15LL,15LL,"41.23749923706055, -89.53669738769531"
15LS,heliport,Port of Iberia Heliport,7,NA,US,US-LA,New Iberia,,,15LS,15LS,"29.944700241088867, -91.83709716796875"
15MA,small_airport,Canapitsit Airport,10,NA,US,US-MA,Gosnold,,,15MA,15MA,"41.42251, -70.909295"
15ME,small_airport,Eagle Field,150,NA,US,US-ME,North Yarmouth,,,15ME,15ME,"43.81529998779297, -70.22920227050781"
15MI,heliport,Grant Pad Heliport,638,NA,US,US-MI,Fraser,,,15MI,15MI,"42.543411, -82.93342"
15MN,small_airport,Tyler Farms Airport,1185,NA,US,US-MN,Watkins,,,15MN,15MN,"45.26219940185547, -94.51069641113281"
15MO,small_airport,Applegate Airport,999,NA,US,US-MO,Queen City,,,,5MO,"40.391576, -92.564718"
15MT,small_airport,Saubak Airport,2701,NA,US,US-MT,Lustre,,,15MT,15MT,"48.50040054321289, -105.91000366210938"
15N,small_airport,Jenkins Airport,53,NA,US,US-DE,Wyoming,,,15N,15N,"39.119598, -75.583801"
15NC,small_airport,Dragonfly Field,49,NA,US,US-NC,Ahoskie,,,15NC,15NC,"36.239945, -76.973537"
15NE,small_airport,Sindt Airport,1990,NA,US,US-NE,Upland,,,15NE,15NE,"40.287886, -98.8282"
15NH,heliport,Nashua Technology Park Heliport,235,NA,US,US-NH,Nashua,,,15NH,15NH,"42.708333, -71.458333"
15NJ,heliport,Werner Heliport,7,NA,US,US-NJ,Belford,,,15NJ,15NJ,"40.42509841918945, -74.09960174560547"
15NR,heliport,Atrium Health Anson Hospital Heliport,331,NA,US,US-NC,Wadesboro,,,15NR,15NR,"34.977056, -80.110229"
15NY,heliport,Peninsula Hospital Center Heliport,,NA,US,US-NY,Far Rockaway,,,15NY,15NY,"40.591800689697266, -73.78009796142578"
15OH,heliport,Twin City Hospital Heliport,940,NA,US,US-OH,Dennison,,,15OH,15OH,"40.40230178833008, -81.33709716796875"
15OI,heliport,Firelands Community Hospital Nr 1 Heliport,599,NA,US,US-OH,Sandusky,,,15OI,15OI,"41.43619918823242, -82.71099853515625"
15OR,heliport,Camp Rilea Heliport,32,NA,US,US-OR,Warrenton,,,15OR,15OR,"46.1159964394, -123.931392431"
15PN,heliport,Metropolitan Edison Heliport,280,NA,US,US-PA,Reading,,,15PN,15PN,"40.375099182128906, -75.9384994506836"
15PS,heliport,Jennersville Hospital Heliport,500,NA,US,US-PA,West Grove,,,15PS,15PS,"39.822576, -75.888127"
15SD,heliport,Watertown / Brownlee Heliport,1720,NA,US,US-SD,,,,15SD,,"44.883264878199995, -97.1080899239"
15TA,small_airport,J R Ranch Airport,1125,NA,US,US-TX,Briggs,,,15TA,15TA,"30.9367, -97.89932"
15TE,heliport,Arco High Island Heliport,5,NA,US,US-TX,High Island,,,15TE,15TE,"29.625454, -94.198422"
15TN,heliport,Indian Path Medical Center Heliport,1283,NA,US,US-TN,Kingsport,,,15TN,15TN,"36.55160140991211, -82.51519775390625"
15TS,heliport,Owens Country Sausage Heliport,629,NA,US,US-TX,Richardson,,,15TS,15TS,"32.98680114746094, -96.69750213623047"
15TT,small_airport,Fordlane Flyers Airport,547,NA,US,US-TX,Lucas,,,15TT,15TT,"33.116379, -96.553817"
15VA,small_airport,Fox Acres Airport,450,NA,US,US-VA,Warrenton,,,15VA,15VA,"38.7223014831543, -77.89969635009766"
15W,small_airport,Dennis Farms Airport,826,NA,US,US-MI,Laingsburg,,,15W,15W,"42.894500732421875, -84.39029693603516"
15WA,small_airport,Sunset Airport,156,NA,US,US-WA,Stanwood,,,15WA,15WA,"48.27230072, -122.3570023"
15WI,small_airport,Peterson Field,978,NA,US,US-WI,Oregon,,,15WI,15WI,"42.9275016784668, -89.41819763183594"
15XS,small_airport,Toy Airpark,36,NA,US,US-TX,Liverpool,,,15XS,15XS,"29.332700729370117, -95.33409881591797"
16A,small_airport,Nunapitchuk Airport,12,NA,US,US-AK,Nunapitchuk,,NUP,PPIT,16A,"60.905591, -162.440454"
16AK,small_airport,Gattis Strip,320,NA,US,US-AK,Wasilla,,,16AK,16AK,"61.596643, -149.339926"
16AL,heliport,Hooper Stagefield Army Heliport,365,NA,US,US-AL,Fort Rucker/Ozark,,,16AL,16AL,"31.40839958190918, -85.68920135498047"
16AR,small_airport,Heifer Creek Ranch Airport,730,NA,US,US-AR,Springfield,,,16AR,16AR,"35.30110168457031, -92.57330322265625"
16AZ,small_airport,Yav'pe Ma'ta Airport,4366,NA,US,US-AZ,Skull Valley,,,16AZ,16AZ,"34.5088996887207, -112.68000030517578"
16CA,heliport,Police Pistol Range Heliport,24,NA,US,US-CA,San Francisco,,,16CA,16CA,"37.719398498535156, -122.4990005493164"
16CL,heliport,Mother Lode Service Center Heliport,1560,NA,US,US-CA,Angels Camp,,,16CL,16CL,"38.08466, -120.537945"
16CO,small_airport,Dry Pen Airport,5331,NA,US,US-CO,Parachute,,,16CO,16CO,"39.40227, -108.07602"
16DE,heliport,Nemours A I Dupont Children's Hospital Ground Heliport,356,NA,US,US-DE,Wilmington,,,16DE,16DE,"39.780906, -75.555767"
16FA,small_airport,Little Deer Airport,14,NA,US,US-FL,Ochopee,,,16FA,16FA,"26.033956, -81.042345"
16FD,small_airport,Skinners Wholesale Nursery Airport,20,NA,US,US-FL,Crescent City,,,16FD,16FD,"29.405000686645508, -81.49590301513672"
16FL,small_airport,J-22 Ranch Airport,200,NA,US,US-FL,Milton,,,16FL,16FL,"30.725184, -87.200769"
16GA,heliport,Galleria Heliport,998,NA,US,US-GA,Marietta,,,16GA,16GA,"33.885101318359375, -84.46269989013672"
16IA,small_airport,Stangl Airport,1230,NA,US,US-IA,Coon Rapids,,,16IA,16IA,"41.879988, -94.777279"
16ID,heliport,Bear Lake Memorial Hospital Helipad,6000,NA,US,US-ID,Montpelier,,,16ID,16ID,"42.316554, -111.299479"
16IL,small_airport,Harold Bunger Airport,830,NA,US,US-IL,Kirkland,,,16IL,16IL,"42.067857, -88.827176"
16IN,heliport,Deaconess Hospital Heliport,390,NA,US,US-IN,Evansville,,,16IN,16IN,"37.984119, -87.572095"
16IS,small_airport,Kellums Airport,720,NA,US,US-IL,Goreville,,,16IS,16IS,"37.577608, -89.008583"
16K,seaplane_base,Port Alice Seaplane Base,0,NA,US,US-AK,Port Alice,,PTC,16K,16K,"55.803, -133.597"
16KS,small_airport,Harmony Valley Airport,780,NA,US,US-KS,Independence,,,16KS,16KS,"37.223471, -95.598389"
16LA,heliport,Arrow Aviation Company Heliport,25,NA,US,US-LA,Cade,,,16LA,16LA,"30.084999084472656, -91.92389678955078"
16LL,heliport,Oak Landing Heliport,870,NA,US,US-IL,Bull Valley,,,16LL,16LL,"42.29999923706055, -88.38059997558594"
16MA,heliport,Lawrence General Hospital Heliport,60,NA,US,US-MA,Lawrence,,,16MA,16MA,"42.709800720214844, -71.15059661865234"
16MD,small_airport,High Valley Airport,363,NA,US,US-MD,North East,,,16MD,16MD,"39.668611, -75.960278"
16ME,heliport,Presque Isle Heliport,631,NA,US,US-ME,Presque Isle,,,16ME,16ME,"46.675919, -67.998981"
16MI,small_airport,Barnstormers 5 Airport,823,NA,US,US-MI,Gaines,,,16MI,16MI,"42.889198303222656, -83.8666000366211"
16MO,small_airport,Findley Field,755,NA,US,US-MO,Beaufort,,,16MO,16MO,"38.405601501464844, -91.15740203857422"
16MS,heliport,Iuka Hospital Heliport,610,NA,US,US-MS,Iuka,,,16MS,16MS,"34.80670166015625, -88.20999908447266"
16MT,small_airport,Bangart Field,4320,NA,US,US-MT,Roberts,,,16MT,16MT,"45.40520095825195, -109.12999725341797"
16NC,small_airport,Lee's Airport,31,NA,US,US-NC,Edenton,,,16NC,16NC,"36.19609832763672, -76.66529846191406"
16ND,small_airport,Kalberer Airport,1828,NA,US,US-ND,Bismarck,,,16ND,16ND,"46.696775, -100.596789"
16NE,small_airport,Korver Airport,1390,NA,US,US-NE,Panama,,,16NE,16NE,"40.560001373291016, -96.49169921875"
16NH,seaplane_base,Bossey's Seaplane Base,624,NA,US,US-NH,Meredith,,,16NH,16NH,"43.60419845581055, -71.51249694824219"
16NJ,seaplane_base,Hummel Seaplane Base,,NA,US,US-NJ,Island Heights,,,16NJ,16NJ,"39.93730163574219, -74.13569641113281"
16NK,heliport,Delaware Valley Hospital Heliport,1220,NA,US,US-NY,Walton,,,16NK,16NK,"42.16239929199219, -75.12799835205078"
16OI,small_airport,Trump Airport,1038,NA,US,US-OH,Greenville,,,16OI,16OI,"40.125301361083984, -84.5824966430664"
16PA,small_airport,Gregg Airport,1200,NA,US,US-PA,Eighty Four,,,16PA,16PA,"40.180599212646484, -80.12760162353516"
16PN,heliport,Oakdale Army Heliport,1265,NA,US,US-PA,Oakdale,,,16PN,16PN,"40.3966825974, -80.15811681750002"
16S,small_airport,Myrtle Creek Municipal Airport,619,NA,US,US-OR,Myrtle Creek,,,K16S,16S,"42.997157, -123.315412"
16SC,small_airport,Horseshoe Landing Airport,600,NA,US,US-SC,Cross Anchor,,,16SC,16SC,"34.627473, -81.89903"
16SD,heliport,Madison Community Hospital Heliport,1683,NA,US,US-SD,Madison,,,16SD,16SD,"43.990661, -97.117349"
16TA,small_airport,Seven Springs Airport,3500,NA,US,US-TX,Balmorhea,,,16TA,16TA,"30.919701, -103.782997"
16TE,small_airport,Holly Lake Ranch Airport,409,NA,US,US-TX,Hawkins,,,16TE,16TE,"32.697601318359375, -95.20770263671875"
16TN,heliport,"HH Health System-Lincoln, Inc Heliport",738,NA,US,US-TN,Fayetteville,,,16TN,16TN,"35.150308, -86.555578"
16TS,small_airport,Pineridge Airport,420,NA,US,US-TX,Tyler,,,16TS,16TS,"32.222698, -95.318001"
16TT,small_airport,16 L Ranch Airport,390,NA,US,US-TX,Normangee,,,16TT,16TT,"31.093611, -96.04375"
16UT,small_airport,Hinrichsen Field,4266,NA,US,US-UT,Perry,,,16UT,16UT,"41.444317, -112.048074"
16VG,seaplane_base,Coastal Seaplanes Cape Charles Seaplane Base,0,NA,US,US-VA,Cape Charles,,,16VG,16VG,"37.271711, -76.02622"
16W,small_airport,Little Goose State Airport,681,NA,US,US-WA,LaCrosse,,,K16W,16W,"46.583931, -118.003972"
16WA,small_airport,Tightcliff Airport,1855,NA,US,US-WA,Nine Mile Falls,,,16WA,16WA,"47.8447, -117.694"
16WI,seaplane_base,Lac Vieux Desert Seaplane Base,1690,NA,US,US-WI,Phelps,,,16WI,16WI,"46.12160110473633, -89.12100219726562"
16X,small_airport,Propwash Airport,800,NA,US,US-TX,Justin,,,16X,16X,"33.0807, -97.358902"
16XA,heliport,Texoma Medical Center Heliport,682,NA,US,US-TX,Denison,,,16XA,16XA,"33.709586, -96.5838"
16XS,small_airport,Outlaw Flyers Airport,270,NA,US,US-TX,Conroe,,,16XS,16XS,"30.404367, -95.35985"
16Z,seaplane_base,Mc Grath Seaplane Base,325,NA,US,US-AK,Mcgrath,,,16Z,16Z,"62.9580001831, -155.593002319"
17AK,heliport,Ketchikan /Temsco H/ Heliport,20,NA,US,US-AK,Ketchikan,,,17AK,17AK,"55.382999420166016, -131.73500061035156"
17AL,heliport,Hunt Stagefield Army Heliport,263,NA,US,US-AL,Fort Rucker/Newton,,,17AL,17AL,"31.380199432373047, -85.5802993774414"
17AR,small_airport,Bredlow Farm Airport,236,NA,US,US-AR,England,,,17AR,17AR,"34.5531005859375, -92.09140014648438"
17AZ,heliport,East Valley ER & Hospital Helipad,1350,NA,US,US-AZ,Gilbert,,,,,"33.314114, -111.687419"
17CL,small_airport,Las Trancas Airport,125,NA,US,US-CA,Davenport,,,17CL,17CL,"37.088545, -122.273691"
17CO,small_airport,Skylane Ranch Airport,5000,NA,US,US-CO,Berthoud,,,17CO,17CO,"40.272258, -105.032625"
17FA,small_airport,Cotton Strip,18,NA,US,US-FL,La Belle,,,17FA,17FA,"26.71339988708496, -81.535400390625"
17FL,small_airport,Jumbolair-Greystone Airport,100,NA,US,US-FL,Ocala,,,17FL,17FL,"29.277416, -82.120709"
17GA,small_airport,Panther Creek Airport,850,NA,US,US-GA,Newnan,,,17GA,17GA,"33.46670150756836, -84.86609649658203"
17GE,heliport,Piedmont Fayette Hospital Heliport,884,NA,US,US-GA,Fayetteville,,,17GE,17GE,"33.45305, -84.50677"
17ID,small_airport,Coyote Ridge Airport,3365,NA,US,US-ID,Midvale,,,17ID,17ID,"44.41421, -116.599123"
17II,small_airport,Dreessen Field,706,NA,US,US-IN,Walkerton,,,17II,17II,"41.45000076293945, -86.51029968261719"
17IN,small_airport,Pruss Airport,890,NA,US,US-IN,Dillsboro,,,17IN,17IN,"38.978401, -85.109703"
17KY,small_airport,Lester Airfield,440,NA,US,US-KY,Sacramento,,,17KY,17KY,"37.393902, -87.258904"
17LS,small_airport,Yankee Field,45,NA,US,US-LA,Port Barre,,,17LS,17LS,"30.611979, -91.985704"
17MA,heliport,Long Hill Heliport,630,NA,US,US-MA,Leominster,,,17MA,17MA,"42.504798889160156, -71.77839660644531"
17MD,heliport,Johns Hopkins Hospital Critical Care Tower Heliport,293,NA,US,US-MD,Baltimore,,,17MD,17MD,"39.296011, -76.592109"
17ME,small_airport,Bresett's Mountainside Airport,590,NA,US,US-ME,Van Buren,,,17ME,17ME,"47.201377, -67.992432"
17MI,heliport,Grace Hospital Heliport,662,NA,US,US-MI,Detroit,,,17MI,17MI,"42.41780090332031, -83.18299865722656"
17MN,seaplane_base,Jackson Seaplane Base,1224,NA,US,US-MN,Mc Gregor,,,MN61,MN61,"46.7169, -93.210197"
17MO,small_airport,Rgl Field,825,NA,US,US-MO,Montgomery City,,,17MO,17MO,"38.98500061035156, -91.53489685058594"
17MS,heliport,River Region Medical Center Heliport,331,NA,US,US-MS,Vicksburg,,,17MS,17MS,"32.373600006103516, -90.82360076904297"
17MT,small_airport,Abel Ranch Airport,2900,NA,US,US-MT,Kalispell,,,17MT,17MT,"48.10710144042969, -114.177001953125"
17MU,small_airport,B-B Airfield,1045,NA,US,US-MO,Osborn,,,17MU,17MU,"39.682791, -94.372097"
17NC,small_airport,Mitchell Field,23,NA,US,US-NC,Elizabethtown,,,17NC,17NC,"34.46630096435547, -78.32859802246094"
17NE,heliport,Jefferson County Memorial Hospital Heliport,1433,NA,US,US-NE,Fairbury,,,17NE,17NE,"40.15719986, -97.17639923"
17NH,heliport,Pomroy Heliport,254,NA,US,US-NH,Londonderry,,,17NH,17NH,"42.82389831542969, -71.36499786376953"
17NJ,heliport,CMC Steel New Jersey Heliport,32,NA,US,US-NJ,Sayreville,,,17NJ,17NJ,"40.486198, -74.322098"
17NK,small_airport,Re-Dun Field,1351,NA,US,US-NY,Rock Stream,,,17NK,17NK,"42.457059, -76.951053"
17NR,small_airport,Zombie Air Force Airport,86,NA,US,US-NC,Ammon,,,17NR,17NR,"34.78325, -78.577008"
17OG,heliport,Eugene Fire Station #2 Heliport,420,NA,US,US-OR,Eugene,,,17OG,17OG,"44.058406, -123.119032"
17OH,small_airport,Kosik Private Airport,855,NA,US,US-OH,Kipton,,,17OH,17OH,"41.24259948730469, -82.27020263671875"
17OI,small_airport,Haas Airport,750,NA,US,US-OH,Bainbridge,,,17OI,17OI,"39.226382, -83.317583"
17OR,small_airport,Glide Aero Airport,980,NA,US,US-OR,Glide,,,17OR,17OR,"43.264198303222656, -123.11000061035156"
17PA,heliport,Kelly Heliport,526,NA,US,US-PA,Quakertown,,,17PA,17PA,"40.44179916381836, -75.32460021972656"
17PN,heliport,Tobyhanna Army Depot Heliport,1990,NA,US,US-PA,Tobyhanna,,,17PN,17PN,"41.19834, -75.43656"
17PS,small_airport,Mountain Crest Airport,1641,NA,US,US-PA,Tidioute,,,17PS,17PS,"41.579200744628906, -79.44170379638672"
17S,small_airport,Chehalem Airpark,190,NA,US,US-OR,Newberg,,,17S,17S,"45.323699951171875, -123.05400085449219"
17SC,small_airport,Carolina Cow Country Airport,680,NA,US,US-SC,Clinton,,,17SC,17SC,"34.53260040283203, -81.88619995117188"
17SD,small_airport,Stone's Conservation Airport,1687,NA,US,US-SD,Gary,,,17SD,17SD,"44.818642, -96.564016"
17TA,heliport,Heli-Dyne Systems Inc Heliport,500,NA,US,US-TX,Hurst,,,17TA,17TA,"32.80099868774414, -97.17949676513672"
17TE,small_airport,Comfort Airpark,1470,NA,US,US-TX,Comfort,,,17TE,17TE,"29.929100036621094, -98.94029998779297"
17TN,small_airport,Murphy Field,1720,NA,US,US-TN,Jonesborough,,,17TN,17TN,"36.299400329589844, -82.60420227050781"
17TS,heliport,Big Bend Regional Medical Center Heliport,4435,NA,US,US-TX,Alpine,,,17TS,17TS,"30.384700775146484, -103.66899871826172"
17TT,heliport,Allen Condo/Tower Heliport,546,NA,US,US-TX,Houston,,,17TT,17TT,"29.760111, -95.382389"
17TX,small_airport,Kimzey Airport,1100,NA,US,US-TX,Stephenville,,,17TX,17TX,"32.443395, -98.255024"
17WA,heliport,Roesler Timber Company Heliport,141,NA,US,US-WA,Startup,,,17WA,17WA,"47.86819839477539, -121.75299835205078"
17WI,small_airport,Ha-Rail Airport,885,NA,US,US-WI,Lake Mills,,,17WI,17WI,"43.03609848022461, -88.89320373535156"
17XA,small_airport,Jacksonville / Hunter Field,580,NA,US,US-TX,Jacksonville,,,17XA,17XA,"32.017778, -95.7969444445"
17XS,small_airport,Quahadi Ranch Airport,1422,NA,US,US-TX,Dublin,,,17XS,17XS,"32.177799224853516, -98.43499755859375"
18AA,small_airport,18 Meadows Aerodrome,89,NA,US,US-AK,Haines,,,18AA,18AA,"59.364956, -135.804791"
18AK,heliport,North Douglas Heliport,25,NA,US,US-AK,Juneau,,,18AK,18AK,"58.33219909667969, -134.4969940185547"
18AL,heliport,Louisville Stagefield Army Heliport,385,NA,US,US-AL,Fort Rucker/Louisville,,,18AL,18AL,"31.816699981689453, -85.65180206298828"
18AR,small_airport,Buck Mountain Airport,1450,NA,US,US-AR,Eureka Springs,,,18AR,18AR,"36.339439, -93.825036"
18AZ,small_airport,Sky Ranch At Carefree Airport,2568,NA,US,US-AZ,Carefree,,,18AZ,18AZ,"33.818536, -111.898327"
18CA,heliport,Twin Cities Community Hospital Heliport,851,NA,US,US-CA,Templeton,,,18CA,18CA,"35.55500030517578, -120.71900177001953"
18CL,small_airport,Bowles Airport,75,NA,US,US-CA,Live Oak,,,18CL,18CL,"39.2859992980957, -121.69400024414062"
18CO,heliport,Rangely District Hospital Heliport,5224,NA,US,US-CO,Rangely,,,18CO,18CO,"40.0807991027832, -108.80400085449219"
18FD,small_airport,Skypark Estates Owners Assoc Airport,250,NA,US,US-FL,Baker,,,18FD,18FD,"30.853394, -86.667214"
18GA,small_airport,Sleepy Hollow Airport,750,NA,US,US-GA,Social Circle,,,18GA,18GA,"33.693199157714844, -83.65769958496094"
18GE,small_airport,Lefty's Landing,231,NA,US,US-GA,Uvalda,,,18GE,18GE,"32.045495, -82.467577"
18HI,small_airport,Brandt Field,685,OC,US,US-HI,Port Saint Joe,,,18HI,18HI,"21.137026, -156.734498"
18ID,heliport,Elmore Medical Center Heliport,3156,NA,US,US-ID,Mountain Home,,,18ID,18ID,"43.13890075683594, -115.69400024414062"
18II,small_airport,Mc Gill Airport,855,NA,US,US-IN,Cicero,,,18II,18II,"40.1199989319, -86.0682983398"
18IL,heliport,AMITA Health Medical Center La Grange Heliport,700,NA,US,US-IL,La Grange,,,18IL,18IL,"41.79699, -87.887281"
18JY,small_airport,Skamokawa East Valley Airport,19,NA,US,US-WA,Skamokawa,,,18JY,18JY,"46.284698486328125, -123.44300079345703"
18K,small_airport,Fowler Airport,2483,NA,US,US-KS,Fowler,,,18K,18K,"37.38420104980469, -100.18599700927734"
18KS,small_airport,Cherokee Strip,1270,NA,US,US-KS,Udall,,,18KS,18KS,"37.372435, -97.108223"
18KY,heliport,Marshall County Hospital Heliport,395,NA,US,US-KY,Benton,,,18KY,18KY,"36.86259841918945, -88.35279846191406"
18LA,heliport,Camp Beauregard Army National Guard Heliport,125,NA,US,US-LA,Pineville,,,18LA,18LA,"31.37507, -92.391287"
18LS,heliport,Omni Mouton Cove Heliport,10,NA,US,US-LA,Abbeville,,,18LS,18LS,"29.89189910888672, -92.16829681396484"
18MA,heliport,Holy Family Hospital Heliport,202,NA,US,US-MA,Methuen,,,18MA,18MA,"42.72779846191406, -71.16829681396484"
18MD,heliport,MedStar Montgomery Medical Center Heliport,472,NA,US,US-MD,Olney,,,18MD,18MD,"39.154705, -77.055012"
18ME,small_airport,Ruby Airport,216,NA,US,US-ME,Bristol,,,18ME,18ME,"43.893597, -69.495406"
18MN,small_airport,Hines Farm Airport,1283,NA,US,US-MN,Motley,,,18MN,18MN,"46.23720169067383, -94.59310150146484"
18MO,small_airport,Gimlin Airport,1380,NA,US,US-MO,Ozark,,,18MO,18MO,"36.96260070800781, -93.17070007324219"
18MS,small_airport,Johns Landing,222,NA,US,US-MS,Jackson,,,18MS,18MS,"32.453333, -90.363889"
18MT,small_airport,Fish Ranch Airport,7200,NA,US,US-MT,Jackson,,,18MT,18MT,"45.215999603271484, -113.4990005493164"
18NC,small_airport,Lanni Field,1160,NA,US,US-NC,Lenoir,,,18NC,18NC,"35.888999938964844, -81.61370086669922"
18ND,small_airport,Bearpaw Airport,1744,NA,US,US-ND,Menoken,,,18ND,18ND,"46.779094, -100.514856"
18NE,small_airport,Doc's Airport,1640,NA,US,US-NE,Geneva,,,18NE,18NE,"40.51390075683594, -97.61060333251953"
18NH,heliport,Catholic Medical Center Heliport,252,NA,US,US-NH,Manchester,,,18NH,18NH,"42.99161, -71.474234"
18NJ,heliport,Manalapan Township-Village Green Heliport,100,NA,US,US-NJ,Freehold,,,18NJ,18NJ,"40.279598236083984, -74.32929992675781"
18NY,small_airport,Strip in the Woods Airport,500,NA,US,US-NY,Woodstock,,,18NY,18NY,"42.017362, -74.047593"
18OH,small_airport,Jer-Mar Airpark,800,NA,US,US-OH,Lagrange,,,18OH,18OH,"41.25619888305664, -82.143798828125"
18OI,small_airport,Boggy Bottoms Airport,575,NA,US,US-OH,Vickery,,,18OI,18OI,"41.419615, -82.97133"
18OK,heliport,Comanche County Memorial Hospital Heliport,1142,NA,US,US-OK,Lawton,,,18OK,18OK,"34.608303, -98.442081"
18OR,small_airport,Red's Field,190,NA,US,US-OR,Amity,,,18OR,18OR,"45.0918655396, -123.182350159"
18PA,small_airport,Slack Airport,275,NA,US,US-PA,Forest Grove,,,18PA,18PA,"40.30009841918945, -75.08290100097656"
18PN,small_airport,Spud View Airport,733,NA,US,US-PA,Upper Strasburg,,,18PN,18PN,"40.065399169921875, -77.69280242919922"
18SD,small_airport,Lost Creek Airport,1550,NA,US,US-SD,Miller,,,18SD,18SD,"44.702429, -99.070351"
18TA,small_airport,West Kerr Ranch Airport,2330,NA,US,US-TX,Junction,,,18TA,18TA,"30.13629913330078, -99.74369812011719"
18TE,small_airport,Alert Field,390,NA,US,US-TX,Big Sandy,,,18TE,18TE,"32.585201263427734, -95.06390380859375"
